model,problem_id,problem_name,timestamp,correctness_passed,correctness_pass_rate,tests_passed,tests_total,syntax_error,runtime_error,avg_runtime_ms,peak_memory_kb,runtime_score,memory_score,efficiency_score,time_complexity,space_complexity,overall_score,needs_human_validation,ai_response,extracted_code,api_latency_ms
gemini,1,Two Sum,2025-11-27T10:05:00.450569,True,1.0,3,3,,,0.02122666531552871,25.5341796875,99.82311112237059,97.87215169270833,99.04272735050569,O(1),O(n),99.61709094020227,False,"```python
def twoSum(nums, target):
    """"""
    Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.

    Args:
        nums (List[int]): An array of integers.
        target (int): The target sum.

    Returns:
        List[int]: A list containing the indices of the two numbers that add up to the target.
    """"""
    num_map = {}
    for index, num in enumerate(nums):
        complement = target - num
        if complement in num_map:
            return [num_map[complement], index]
        num_map[num] = index
    return []
```","def twoSum(nums, target):
    """"""
    Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.

    Args:
        nums (List[int]): An array of integers.
        target (int): The target sum.

    Returns:
        List[int]: A list containing the indices of the two numbers that add up to the target.
    """"""
    num_map = {}
    for index, num in enumerate(nums):
        complement = target - num
        if complement in num_map:
            return [num_map[complement], index]
        num_map[num] = index
    return []",1671.7289999942295
gpt,1,Two Sum,2025-11-27T10:05:05.183189,True,1.0,3,3,,,0.021726673003286123,25.5341796875,99.81894439163928,97.87215169270833,99.04022731206689,O(1),O(n),99.61609092482675,False,"```python
def twoSum(nums, target):
    num_to_index = {}
    
    for index, num in enumerate(nums):
        complement = target - num
        if complement in num_to_index:
            return [num_to_index[complement], index]
        num_to_index[num] = index
    
    return []
```","def twoSum(nums, target):
    num_to_index = {}
    
    for index, num in enumerate(nums):
        complement = target - num
        if complement in num_to_index:
            return [num_to_index[complement], index]
        num_to_index[num] = index
    
    return []",2618.865200027358
gemini,20,Valid Parentheses,2025-11-27T10:05:08.553717,True,1.0,5,5,,,0.024484004825353622,25.537109375,99.79596662645538,97.87190755208333,99.02634299670656,O(n),O(n),99.61053719868264,False,"```python
def isValid(s: str) -> bool:
    """"""
    Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

    An input string is valid if:

    Open brackets must be closed by the same type of brackets.
    Open brackets must be closed in the correct order.
    Every close bracket has a corresponding open bracket of the same type.
    """"""
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}

    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'  # Use '#' as a default if stack is empty
            if mapping[char] != top_element:
                return False
        else:
            stack.append(char)

    return not stack
```","def isValid(s: str) -> bool:
    """"""
    Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

    An input string is valid if:

    Open brackets must be closed by the same type of brackets.
    Open brackets must be closed in the correct order.
    Every close bracket has a corresponding open bracket of the same type.
    """"""
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}

    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'  # Use '#' as a default if stack is empty
            if mapping[char] != top_element:
                return False
        else:
            stack.append(char)

    return not stack",1718.1675999891013
gpt,20,Valid Parentheses,2025-11-27T10:05:12.629699,True,1.0,5,5,,,0.022720007691532373,25.537109375,99.81066660257056,97.87190755208333,99.03516298237568,O(n),O(n),99.61406519295028,False,"```python
def isValid(s: str) -> bool:
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}

    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'
            if mapping[char] != top_element:
                return False
        else:
            stack.append(char)

    return not stack
```","def isValid(s: str) -> bool:
    stack = []
    mapping = {')': '(', '}': '{', ']': '['}

    for char in s:
        if char in mapping:
            top_element = stack.pop() if stack else '#'
            if mapping[char] != top_element:
                return False
        else:
            stack.append(char)

    return not stack",2340.740100014955
gemini,21,Merge Two Sorted Lists,2025-11-27T10:05:15.086515,False,0.0,0,3,,,0,0,0,0,0,N/A,N/A,0.0,True,"```python
# Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

class Solution:
    def mergeTwoLists(self, list1: Optional[ListNode], list2: Optional[ListNode]) -> Optional[ListNode]:
        """"""Merges two sorted linked lists.

        Args:
            list1: The first sorted linked list.
            list2: The second sorted linked list.

        Returns:
            The merged sorted linked list.
        """"""
        dummy = ListNode()
        tail = dummy

        while list1 and list2:
            if list1.val <= list2.val:
                tail.next = list1
                list1 = list1.next
            else:
                tail.next = list2
                list2 = list2.next
            tail = tail.next

        if list1:
            tail.next = list1
        elif list2:
            tail.next = list2

        return dummy.next
```","# Definition for singly-linked list.
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

class Solution:
    def mergeTwoLists(self, list1: Optional[ListNode], list2: Optional[ListNode]) -> Optional[ListNode]:
        """"""Merges two sorted linked lists.

        Args:
            list1: The first sorted linked list.
            list2: The second sorted linked list.

        Returns:
            The merged sorted linked list.
        """"""
        dummy = ListNode()
        tail = dummy

        while list1 and list2:
            if list1.val <= list2.val:
                tail.next = list1
                list1 = list1.next
            else:
                tail.next = list2
                list2 = list2.next
            tail = tail.next

        if list1:
            tail.next = list1
        elif list2:
            tail.next = list2

        return dummy.next",2075.2185999881476
gpt,21,Merge Two Sorted Lists,2025-11-27T10:05:19.250348,False,0.3333333333333333,1,3,,,0,0,0,0,0,N/A,N/A,20.0,True,"```python
class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def mergeTwoLists(l1: ListNode, l2: ListNode) -> ListNode:
    dummy = ListNode(0)
    current = dummy

    while l1 and l2:
        if l1.val < l2.val:
            current.next = l1
            l1 = l1.next
        else:
            current.next = l2
            l2 = l2.next
        current = current.next

    # Attach the remaining elements
    current.next = l1 if l1 is not None else l2

    return dummy.next
```","class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def mergeTwoLists(l1: ListNode, l2: ListNode) -> ListNode:
    dummy = ListNode(0)
    current = dummy

    while l1 and l2:
        if l1.val < l2.val:
            current.next = l1
            l1 = l1.next
        else:
            current.next = l2
            l2 = l2.next
        current = current.next

    # Attach the remaining elements
    current.next = l1 if l1 is not None else l2

    return dummy.next",3820.300200022757
gemini,15,3Sum,2025-11-27T10:05:22.778342,True,1.0,3,3,,,0.027166671740512054,25.5400390625,99.77361106882907,97.87166341145833,99.01283200588077,O(n log n),O(1),99.6051328023523,False,"```python
def threeSum(nums):
    """"""
    Finds all unique triplets in the input array that sum to zero.

    Args:
        nums: A list of integers.

    Returns:
        A list of lists, where each inner list represents a unique triplet
        that sums to zero.
    """"""

    nums.sort()
    result = []
    n = len(nums)

    for i in range(n - 2):
        # Skip duplicate values for the first element
        if i > 0 and nums[i] == nums[i - 1]:
            continue

        left = i + 1
        right = n - 1

        while left < right:
            total = nums[i] + nums[left] + nums[right]

            if total == 0:
                result.append([nums[i], nums[left], nums[right]])

                # Skip duplicate values for the second element
                while left < right and nums[left] == nums[left + 1]:
                    left += 1

                # Skip duplicate values for the third element
                while left < right and nums[right] == nums[right - 1]:
                    right -= 1

                left += 1
                right -= 1
            elif total < 0:
                left += 1
            else:
                right -= 1

    return result
```","def threeSum(nums):
    """"""
    Finds all unique triplets in the input array that sum to zero.

    Args:
        nums: A list of integers.

    Returns:
        A list of lists, where each inner list represents a unique triplet
        that sums to zero.
    """"""

    nums.sort()
    result = []
    n = len(nums)

    for i in range(n - 2):
        # Skip duplicate values for the first element
        if i > 0 and nums[i] == nums[i - 1]:
            continue

        left = i + 1
        right = n - 1

        while left < right:
            total = nums[i] + nums[left] + nums[right]

            if total == 0:
                result.append([nums[i], nums[left], nums[right]])

                # Skip duplicate values for the second element
                while left < right and nums[left] == nums[left + 1]:
                    left += 1

                # Skip duplicate values for the third element
                while left < right and nums[right] == nums[right - 1]:
                    right -= 1

                left += 1
                right -= 1
            elif total < 0:
                left += 1
            else:
                right -= 1

    return result",2499.8213999788277
gpt,15,3Sum,2025-11-27T10:05:29.898683,True,1.0,3,3,,,0.03376666766901811,25.5400390625,99.71861110275819,97.87166341145833,98.97983202623826,O(n log n),O(n),99.59193281049531,False,"Here is a clean and efficient solution for the 3Sum problem:

```python
from typing import List

def threeSum(nums: List[int]) -> List[List[int]]:
    nums.sort()  # Sort the array to facilitate the two-pointer technique
    result = []
    
    for i in range(len(nums) - 2):
        # Skip duplicate values for the first element
        if i > 0 and nums[i] == nums[i - 1]:
            continue
        
        left, right = i + 1, len(nums) - 1
        
        while left < right:
            total = nums[i] + nums[left] + nums[right]
            if total < 0:
                left += 1
            elif total > 0:
                right -= 1
            else:
                result.append([nums[i], nums[left], nums[right]])
                
                # Skip duplicate values for the second element
                while left < right and nums[left] == nums[left + 1]:
                    left += 1
                # Skip duplicate values for the third element
                while left < right and nums[right] == nums[right - 1]:
                    right -= 1
                
                left += 1
                right -= 1
    
    return result
```

This solution sorts the input array and uses a two-pointer approach to find unique triplets that sum to zero, ensuring that duplicates are skipped to avoid repeated triplets in the output.","from typing import List

def threeSum(nums: List[int]) -> List[List[int]]:
    nums.sort()  # Sort the array to facilitate the two-pointer technique
    result = []
    
    for i in range(len(nums) - 2):
        # Skip duplicate values for the first element
        if i > 0 and nums[i] == nums[i - 1]:
            continue
        
        left, right = i + 1, len(nums) - 1
        
        while left < right:
            total = nums[i] + nums[left] + nums[right]
            if total < 0:
                left += 1
            elif total > 0:
                right -= 1
            else:
                result.append([nums[i], nums[left], nums[right]])
                
                # Skip duplicate values for the second element
                while left < right and nums[left] == nums[left + 1]:
                    left += 1
                # Skip duplicate values for the third element
                while left < right and nums[right] == nums[right - 1]:
                    right -= 1
                
                left += 1
                right -= 1
    
    return result",5912.642800016329
gemini,5,Longest Palindromic Substring,2025-11-27T10:05:32.739282,True,1.0,3,3,,,0.02500000409781933,25.56640625,99.79166663251817,97.86946614583333,99.02278643784425,O(2^n) or O(n!),O(n),99.60911457513771,False,"```python
def longestPalindrome(s: str) -> str:
    """"""
    Given a string s, return the longest palindromic substring in s.
    """"""
    if not s:
        return """"

    n = len(s)
    longest = """"

    def expand_around_center(left, right):
        while left >= 0 and right < n and s[left] == s[right]:
            left -= 1
            right += 1
        return s[left + 1:right]

    for i in range(n):
        # Odd length palindromes
        palindrome1 = expand_around_center(i, i)
        if len(palindrome1) > len(longest):
            longest = palindrome1

        # Even length palindromes
        palindrome2 = expand_around_center(i, i + 1)
        if len(palindrome2) > len(longest):
            longest = palindrome2

    return longest
```","def longestPalindrome(s: str) -> str:
    """"""
    Given a string s, return the longest palindromic substring in s.
    """"""
    if not s:
        return """"

    n = len(s)
    longest = """"

    def expand_around_center(left, right):
        while left >= 0 and right < n and s[left] == s[right]:
            left -= 1
            right += 1
        return s[left + 1:right]

    for i in range(n):
        # Odd length palindromes
        palindrome1 = expand_around_center(i, i)
        if len(palindrome1) > len(longest):
            longest = palindrome1

        # Even length palindromes
        palindrome2 = expand_around_center(i, i + 1)
        if len(palindrome2) > len(longest):
            longest = palindrome2

    return longest",1820.4969999496825
gpt,5,Longest Palindromic Substring,2025-11-27T10:05:38.138860,False,0.6666666666666666,2,3,,,0,0,0,0,0,N/A,N/A,40.0,True,"```python
def longestPalindrome(s: str) -> str:
    if not s:
        return """"
    
    start, end = 0, 0
    
    for i in range(len(s)):
        len1 = expandAroundCenter(s, i, i)    # Odd length palindromes
        len2 = expandAroundCenter(s, i, i + 1)  # Even length palindromes
        max_len = max(len1, len2)
        
        if max_len > end - start:
            start = i - (max_len - 1) // 2
            end = i + max_len // 2
            
    return s[start:end + 1]

def expandAroundCenter(s: str, left: int, right: int) -> int:
    while left >= 0 and right < len(s) and s[left] == s[right]:
        left -= 1
        right += 1
    return right - left - 1
```","def longestPalindrome(s: str) -> str:
    if not s:
        return """"
    
    start, end = 0, 0
    
    for i in range(len(s)):
        len1 = expandAroundCenter(s, i, i)    # Odd length palindromes
        len2 = expandAroundCenter(s, i, i + 1)  # Even length palindromes
        max_len = max(len1, len2)
        
        if max_len > end - start:
            start = i - (max_len - 1) // 2
            end = i + max_len // 2
            
    return s[start:end + 1]

def expandAroundCenter(s: str, left: int, right: int) -> int:
    while left >= 0 and right < len(s) and s[left] == s[right]:
        left -= 1
        right += 1
    return right - left - 1",5067.6356999902055
